Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6460.000000,6525.000000,6455.000000,6505.000000,5714.395996,3834500
2015-01-05,6495.000000,6505.000000,6455.000000,6495.000000,5705.612305,8807000
2015-01-06,6460.000000,6500.000000,6430.000000,6495.000000,5705.612305,7003500
2015-01-07,6500.000000,6740.000000,6500.000000,6625.000000,5819.812500,14507000
2015-01-08,6620.000000,6690.000000,6620.000000,6675.000000,5863.735352,13274500
2015-01-09,6620.000000,6690.000000,6595.000000,6645.000000,5837.381348,10390000
2015-01-12,6575.000000,6580.000000,6420.000000,6420.000000,5639.728027,6130500
2015-01-13,6520.000000,6620.000000,6495.000000,6600.000000,5797.850098,5970500
2015-01-14,6645.000000,6650.000000,6530.000000,6530.000000,5736.358398,4891000
2015-01-15,6545.000000,6600.000000,6530.000000,6545.000000,5749.535645,1630000
2015-01-16,6595.000000,6800.000000,6530.000000,6700.000000,5885.697266,4857000
2015-01-19,6700.000000,6800.000000,6680.000000,6800.000000,5973.543457,5275500
2015-01-20,6735.000000,6840.000000,6735.000000,6840.000000,6008.681152,12651500
2015-01-21,6840.000000,7190.000000,6840.000000,7190.000000,6316.143066,14445000
2015-01-22,7000.000000,7200.000000,7000.000000,7160.000000,6289.790039,6515500
2015-01-23,7210.000000,7255.000000,7160.000000,7240.000000,6360.065918,11648500
2015-01-26,7220.000000,7220.000000,6825.000000,7100.000000,6237.081055,17868500
2015-01-27,7100.000000,7125.000000,6965.000000,7105.000000,6241.474121,5894500
2015-01-28,7100.000000,7140.000000,7045.000000,7100.000000,6237.081055,5197500
2015-01-29,7120.000000,7130.000000,7025.000000,7075.000000,6215.120605,5218500
2015-01-30,7120.000000,7180.000000,7100.000000,7165.000000,6294.181641,9832000
2015-02-02,7200.000000,7335.000000,7150.000000,7235.000000,6355.673828,7491500
2015-02-03,7220.000000,7300.000000,7220.000000,7275.000000,6390.813477,2952500
2015-02-04,7270.000000,7300.000000,7265.000000,7280.000000,6395.205566,8229500
2015-02-05,7200.000000,7200.000000,6970.000000,7050.000000,6193.158691,14658000
2015-02-06,7000.000000,7400.000000,7000.000000,7330.000000,6439.128418,11806000
2015-02-09,7380.000000,7380.000000,7200.000000,7225.000000,6346.889648,3611500
2015-02-10,7225.000000,7335.000000,7100.000000,7100.000000,6237.081055,8954500
2015-02-11,7200.000000,7200.000000,7115.000000,7135.000000,6267.828125,6351500
2015-02-12,7135.000000,7135.000000,7040.000000,7135.000000,6267.828125,4965500
2015-02-13,7160.000000,7280.000000,7080.000000,7265.000000,6382.027832,5548000
2015-02-16,7285.000000,7285.000000,7020.000000,7020.000000,6166.805176,5764000
2015-02-17,7120.000000,7180.000000,7070.000000,7180.000000,6307.358398,4037500
2015-02-18,7180.000000,7200.000000,7100.000000,7100.000000,6237.081055,5194500
2015-02-20,7100.000000,7160.000000,7060.000000,7065.000000,6206.335449,6567500
2015-02-23,7080.000000,7220.000000,7080.000000,7210.000000,6333.713379,6402000
2015-02-24,7200.000000,7210.000000,7140.000000,7205.000000,6329.320801,5669000
2015-02-25,7220.000000,7270.000000,7205.000000,7270.000000,6386.420410,6600000
2015-02-26,7230.000000,7330.000000,7145.000000,7300.000000,6412.774414,8736500
2015-02-27,7225.000000,7285.000000,7200.000000,7200.000000,6324.928223,9971000
2015-03-02,7200.000000,7300.000000,7150.000000,7280.000000,6395.205566,6018500
2015-03-03,7250.000000,7330.000000,7215.000000,7215.000000,6338.106445,9230000
2015-03-04,7240.000000,7270.000000,7210.000000,7220.000000,6342.496582,3130000
2015-03-05,7250.000000,7345.000000,7220.000000,7250.000000,6368.851074,5711000
2015-03-06,7300.000000,7560.000000,7270.000000,7560.000000,6641.174805,12435000
2015-03-09,7500.000000,7500.000000,7410.000000,7500.000000,6588.466309,10916500
2015-03-10,7460.000000,7560.000000,7305.000000,7560.000000,6641.174805,11208000
2015-03-11,7500.000000,7750.000000,7420.000000,7750.000000,6808.082031,17267000
2015-03-12,7750.000000,7965.000000,7700.000000,7965.000000,6996.952637,11804000
2015-03-13,7960.000000,8025.000000,7900.000000,7975.000000,7005.735352,7656500
2015-03-16,7975.000000,7975.000000,7900.000000,7915.000000,6953.029297,7660000
2015-03-17,7915.000000,7970.000000,7775.000000,7800.000000,6852.005371,6808500
2015-03-18,7790.000000,7790.000000,7500.000000,7500.000000,6588.466309,10806000
2015-03-19,7600.000000,7700.000000,7600.000000,7660.000000,6729.021484,7586000
2015-03-20,7660.000000,7695.000000,7615.000000,7660.000000,6729.021484,10655500
2015-03-23,7665.000000,7760.000000,7665.000000,7725.000000,6786.121094,4662500
2015-03-24,7730.000000,7800.000000,7725.000000,7780.000000,6834.435547,10474000
2015-03-25,7750.000000,7780.000000,7740.000000,7765.000000,6821.259277,10222500
2015-03-26,7750.000000,7815.000000,7700.000000,7700.000000,6764.159180,7382500
2015-03-27,7740.000000,7880.000000,7740.000000,7820.000000,6869.574707,8610000
2015-03-30,7880.000000,7980.000000,7880.000000,7930.000000,6966.205078,7540000
2015-03-31,8100.000000,8100.000000,7930.000000,7930.000000,6966.205078,18220500
2015-04-01,7840.000000,7920.000000,7795.000000,7805.000000,6856.397461,8069500
2015-04-02,7910.000000,7910.000000,7795.000000,7810.000000,6860.790039,7393000
2015-04-06,7815.000000,7915.000000,7815.000000,7860.000000,6904.712891,1876000
2015-04-07,7860.000000,7980.000000,7860.000000,7960.000000,6992.560059,7161000
2015-04-08,7965.000000,7975.000000,7735.000000,7740.000000,6799.298340,14001500
2015-04-09,7750.000000,7870.000000,7750.000000,7870.000000,6913.497559,7920000
